text,chapter,gpt_4o_mini,gpt_5.4_mini,deepseek_v4_flash,deepseek_v4_pro,claude_haiku_4_5
"If you are male, your penis and testicles are two of your sex organs.",3,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.",",Yes,yes,Yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"The IUD, the implant, and Depo-Provera are the most effective kinds of birth control.",23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,No,No,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,No",",no,Yes,Yes,no,no,Yes,Yes,Yes,Yes,No,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,No,Yes,Yes,Yes,Yes",",No,No.,No.,No.,No,No,No,No,No,No.,No,No,No,No.,No.,No.,No,No,No.,No,No,No.,No.,No,No,No,No,No.,No.,No"
Others believe that using the rhythm method and withdrawal method is fine.,23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.",",No,Yes,Yes,No,No,Yes,No.,No,No.,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No.,No,Yes,No,No,No.,No,No,No",",no,no,Yes,no,no,No,yes,Yes,No,no,yes,No,No,No,No,yes,no,yes,no,no,no,yes,Yes,no,No,No,no,yes,no,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Each egg waits in the Fallopian tube to be fertilized by a sperm.,20,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.",",Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Even though that person is not actually touching your body, talking about sex or your body in this way can be a kind of sexual abuse.",26,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"If you say online that someone is fat or skinny or sexy or ugly or beautiful or handsome, what you have said is really never private once those words are on the Internet.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes",",yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Identical twins begin if a single egg splits into two after it has been fertilized.,18,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes",",Yes,yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Some websites are not always what they tell you they are.,25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"In most births, the baby’s head pushes out of the vagina ﬁrst.",21,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.",",Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"And yet people, both kids and adults, who are HIV pos- itive or who have developed AIDS have been discriminated against.",29,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,yes,yes,yes,Yes,yes,yes,Yes,yes,Yes,Yes,yes,Yes,yes,Yes,Yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
